cart_item_id,cart_id,product_id,quantity,unit_price
1,1,3096,3,64.02
2,1,462,3,85.49
3,2,2559,3,412.53
4,3,3917,3,343.27
5,3,3116,1,81.74
6,3,443,3,346.92
7,3,739,3,413.17
8,3,1907,1,45.2
9,3,339,1,75.93
10,4,3601,1,80.92
11,4,1131,3,415.47
12,4,2598,1,231.85
13,4,4760,1,12.17
14,5,4798,3,311.87
15,5,1008,1,473.44
16,5,480,3,410.05
17,5,2037,3,34.4
18,8,2820,2,234.68
19,8,3578,2,138.83
20,8,2690,1,303.79
21,8,3046,2,131.77
22,9,548,3,140.65
23,9,4733,2,270.42
24,9,2434,1,251.25
25,10,2423,3,280.13
26,11,721,3,258.83
27,11,2731,1,366.02
28,11,2642,3,63.61
29,11,85,3,307.62
30,14,4020,1,8.59
31,14,1326,2,361.96
32,15,1342,3,153.32
33,16,4690,1,456.08
34,16,2555,1,87.76
35,16,4025,2,67.65
36,16,4019,2,456.82
37,17,138,3,453.29
38,17,2797,1,473.53
39,17,545,3,344.2
40,17,3038,3,472.92
41,17,1720,2,255.39
42,17,4243,3,494.67
43,18,4211,1,10.72
44,18,4398,1,398.19
45,18,4474,3,170.35
46,18,748,2,375.59
47,20,2517,2,94.95
48,22,874,2,180.1
49,22,163,3,365.35
50,22,2800,3,238.76
51,22,2695,3,255.3
52,23,4730,2,313.49
53,23,2526,2,315.21
54,23,3040,3,381.69
55,23,396,1,42.48
56,23,4605,2,9.17
57,23,1085,2,407.68
58,25,1632,1,388.99
59,25,2662,3,354.31
60,26,106,1,468.08
61,26,2654,2,454.27
62,27,95,2,184.85
63,27,386,3,240.75
64,27,2838,1,102.24
65,27,1189,1,438.43
66,28,3314,3,30.3
67,28,7,2,91.23
68,28,3866,2,184.9
69,28,3467,2,479.5
70,29,3107,2,177.19
71,30,4127,3,433.33
72,30,2640,2,23.84
73,30,3227,2,237.23
74,30,1500,1,455.57
75,31,4934,2,94.46
76,31,2981,2,202.58
77,31,4006,2,57.04
78,31,2882,2,13.06
79,31,1720,3,255.39
80,32,2438,2,316.0
81,32,3699,3,319.5
82,33,3197,3,137.87
83,33,2137,2,344.69
84,33,3450,2,307.14
85,33,3471,1,377.96
86,33,1879,3,470.45
87,33,152,2,244.33
88,34,280,1,60.08
89,34,431,1,189.88
90,34,4611,1,9.53
91,34,2578,2,231.09
92,34,3833,1,112.94
93,34,3454,1,300.89
94,36,1694,2,235.98
95,37,2845,2,345.59
96,37,350,3,50.99
97,37,3084,2,330.11
98,37,4224,2,458.84
99,37,2853,2,272.12
100,39,3874,2,197.82
101,39,1382,1,429.46
102,39,1114,3,430.85
103,39,1872,1,379.48
104,40,3956,2,484.86
105,41,2818,2,92.58
106,41,3627,3,480.56
107,41,1191,2,384.59
108,41,1398,2,70.2
109,41,2041,1,101.77
110,41,3554,2,153.51
111,42,942,1,32.72
112,43,4190,3,143.3
113,43,3926,2,56.17
114,43,1266,1,354.58
115,43,1587,1,327.45
116,43,4077,3,486.35
117,46,4561,1,179.38
118,46,2658,2,37.01
119,46,3798,1,405.49
120,46,2320,2,217.85
121,46,1267,3,166.92
122,47,468,1,479.02
123,47,2652,3,81.96
124,47,2182,1,286.91
125,48,4183,2,77.5
126,48,2389,3,15.62
127,49,3110,1,8.96
128,50,2771,3,72.14
129,52,4883,3,147.7
130,52,4814,1,129.04
131,52,2537,2,307.55
132,52,2399,1,146.49
133,52,2983,1,393.15
134,52,2021,3,49.6
135,53,2514,1,149.49
136,53,1038,2,373.79
137,53,3769,3,323.69
138,53,1112,2,250.82
139,53,4446,2,67.5
140,54,1635,2,186.5
141,54,4579,3,305.13
142,54,4649,3,130.37
143,54,2027,2,382.47
144,55,2374,3,332.65
145,55,1128,1,432.07
146,55,1110,3,284.11
147,55,1061,2,148.44
148,55,1975,2,455.69
149,55,2877,3,384.86
150,56,821,3,153.06
151,56,3572,2,401.35
152,57,2406,3,151.56
153,57,3232,1,340.54
154,57,65,2,128.17
155,57,3391,3,337.91
156,58,1610,3,175.01
157,59,2119,1,460.16
158,59,1320,3,356.0
159,59,2951,3,110.23
160,59,3750,3,179.09
161,59,1092,3,296.48
162,59,509,3,251.58
163,60,4856,3,226.68
164,60,3648,2,360.47
165,61,4368,1,77.25
166,62,3837,2,316.7
167,62,647,3,207.77
168,62,2421,2,422.01
169,62,2397,3,285.78
170,63,2461,1,192.03
171,67,2156,3,11.46
172,67,1871,1,149.66
173,67,80,1,62.37
174,67,1437,2,378.61
175,67,2429,2,383.31
176,68,263,1,71.87
177,68,1154,2,212.33
178,68,2535,2,97.21
179,68,3850,2,209.17
180,68,2985,1,113.63
181,69,799,3,33.33
182,69,4096,1,259.13
183,69,1307,1,19.38
184,69,2941,2,377.05
185,69,4284,3,131.29
186,70,4809,2,317.84
187,70,377,3,453.5
188,70,4612,1,392.23
189,70,4658,2,432.27
190,70,1817,3,332.52
191,71,1278,3,467.42
192,71,3614,3,34.53
193,71,1944,2,385.71
194,71,799,1,33.33
195,72,786,1,98.47
196,72,233,3,234.52
197,72,1602,1,479.92
198,73,1889,2,330.1
199,73,2748,3,197.24
200,73,4795,2,102.99
201,73,4328,1,359.87
202,73,2555,2,87.76
203,75,689,1,281.83
204,76,1107,1,446.45
205,76,1537,1,100.36
206,76,3214,1,287.79
207,76,52,1,403.69
208,76,2871,1,154.1
209,77,322,2,348.84
210,77,3732,3,401.39
211,77,3959,1,303.95
212,77,3334,2,340.71
213,77,2192,1,113.42
214,77,2516,3,199.48
215,78,4528,3,318.04
216,78,4291,3,64.86
217,78,3699,2,319.5
218,79,921,1,478.45
219,80,2966,1,212.9
220,80,4899,1,23.16
221,80,4719,2,355.86
222,80,191,1,448.78
223,80,2711,2,285.35
224,81,1253,3,317.4
225,81,779,1,189.71
226,81,1285,1,189.53
227,81,4545,3,182.86
228,81,3163,1,472.77
229,82,1871,3,149.66
230,82,2720,3,304.7
231,82,2323,3,383.5
232,82,321,1,192.57
233,82,4722,1,148.29
234,83,1534,1,482.99
235,83,942,2,32.72
236,83,4728,2,252.57
237,83,3539,3,307.35
238,83,624,3,322.53
239,84,4937,1,427.39
240,84,3143,3,202.17
241,84,1294,2,281.04
242,84,1765,1,323.05
243,84,3062,1,439.69
244,84,831,2,328.33
245,86,4486,3,400.09
246,86,4572,3,379.37
247,88,4900,2,134.33
248,88,534,3,282.11
249,89,1132,1,466.57
250,89,405,1,203.3
251,89,1872,2,379.48
252,89,4421,1,396.38
253,89,962,1,282.6
254,91,2541,2,142.14
255,91,41,2,438.21
256,91,1153,2,179.23
257,91,4045,2,196.43
258,91,4517,3,469.34
259,91,2864,2,497.13
260,93,4267,2,164.36
261,93,3795,2,308.65
262,94,427,1,462.81
263,94,4845,2,86.09
264,94,996,2,319.06
265,94,4716,3,131.21
266,94,2002,1,265.87
267,95,97,3,318.66
268,95,1352,3,470.29
269,95,3872,1,114.45
270,95,2261,2,259.77
271,96,103,2,408.55
272,96,1647,3,189.97
273,96,1157,2,64.79
274,97,3983,3,42.81
275,97,3434,3,219.65
276,97,2173,2,67.58
277,97,3166,2,411.58
278,98,1618,2,52.81
279,98,1498,3,407.78
280,99,2348,2,317.0
281,99,302,1,216.64
282,99,4114,2,94.71
283,99,3848,1,87.62
284,99,3716,2,319.9
285,99,2100,2,35.62
286,100,4997,1,273.2
287,100,491,3,490.65
288,100,4118,2,120.95
289,100,4006,3,57.04
290,100,1822,2,82.91
291,100,3628,1,391.57
292,101,3153,1,67.47
293,101,1333,1,269.7
294,101,2101,1,160.62
295,101,1837,3,263.5
296,101,946,2,104.85
297,101,4297,3,330.62
298,102,188,1,289.58
299,103,3013,1,320.28
300,103,4457,2,98.23
301,103,4186,3,37.33
