order_item_id,order_id,product_id,quantity,unit_price
1,1,4617,3,11.82
2,2,4755,2,397.04
3,3,3237,3,478.81
4,3,630,1,272.27
5,4,135,3,198.54
6,5,3634,3,155.61
7,6,3143,3,202.17
8,6,126,2,449.65
9,6,959,1,311.74
10,7,1883,2,7.45
11,8,3591,1,53.44
12,8,1113,3,438.84
13,9,94,3,481.77
14,9,4734,2,193.05
15,10,143,3,294.16
16,10,1634,2,474.28
17,11,825,3,243.81
18,12,2671,2,372.39
19,12,4018,1,76.29
20,13,4924,1,174.53
21,14,2800,3,238.76
22,14,2217,3,15.15
23,14,3488,3,459.74
24,15,1318,1,292.01
25,15,2708,1,307.81
26,16,2230,3,67.41
27,16,4058,1,48.83
28,17,2408,1,134.76
29,17,3163,2,472.77
30,18,4751,1,371.9
31,18,456,2,285.79
32,19,2532,1,237.6
33,19,4065,2,324.14
34,19,2319,3,365.84
35,20,858,1,360.64
36,21,895,2,63.13
37,21,1648,2,378.94
38,21,109,1,214.08
39,22,1435,3,156.39
40,22,2937,1,340.74
41,23,118,3,235.83
42,24,2569,3,29.92
43,25,4570,3,52.65
44,25,4443,2,24.87
45,26,3173,1,271.25
46,27,137,3,300.34
47,27,1741,3,210.82
48,28,2378,3,117.56
49,29,4657,3,438.54
50,29,1676,3,223.88
51,30,3129,1,294.67
52,30,1986,1,34.2
53,30,4177,2,5.48
54,31,864,2,338.89
55,31,637,3,204.36
56,32,3706,1,134.54
57,32,4042,3,186.08
58,32,586,3,25.02
59,32,4858,3,377.77
60,33,3637,2,245.54
61,33,2619,1,142.23
62,33,3587,2,145.28
63,34,1714,2,450.21
64,34,3422,2,78.65
65,34,107,3,70.67
66,34,3098,2,187.41
67,35,3097,2,467.27
68,36,3394,2,446.53
69,36,3905,3,292.86
70,37,2462,3,220.91
71,37,2435,3,349.49
72,38,4945,3,255.99
73,39,3546,1,308.5
74,39,3903,1,237.78
75,40,3445,1,431.79
76,40,4051,3,404.38
77,41,555,3,199.78
78,42,3973,3,449.55
79,42,2622,2,19.51
80,43,1975,3,455.69
81,43,1693,3,400.42
82,44,2630,2,461.03
83,44,3704,1,285.97
84,44,440,2,499.48
85,45,1660,1,359.94
86,46,4304,3,262.24
87,47,3424,3,132.39
88,47,1474,2,247.78
89,47,1767,1,431.69
90,48,3847,2,421.25
91,48,4590,3,480.22
92,49,1270,3,73.35
93,49,1466,3,354.65
94,50,4182,2,259.21
95,50,8,1,91.8
96,51,3016,2,209.86
97,52,4341,1,48.95
98,52,1959,2,324.68
99,53,1299,2,210.62
100,53,4138,1,207.88
101,53,1235,2,239.36
102,53,3532,3,123.49
103,54,4479,2,18.06
104,54,3116,2,81.74
105,55,3004,2,153.54
106,55,489,1,73.81
107,55,4297,3,330.62
108,56,1723,1,245.83
109,56,2442,3,426.05
110,56,3591,3,53.44
111,56,3168,3,314.9
112,57,1451,3,476.82
113,57,4266,3,496.11
114,57,4899,2,23.16
115,58,1658,1,234.03
116,59,1248,1,92.67
117,59,4212,1,51.87
118,59,117,3,64.08
119,60,2327,3,27.61
120,60,4093,1,400.78
121,60,2305,3,149.56
122,61,1874,3,131.3
123,61,779,3,189.71
124,61,501,1,145.39
125,62,1178,3,136.32
126,63,3717,1,228.55
127,63,3100,3,322.5
128,63,1248,2,92.67
129,64,3498,1,424.26
130,64,654,2,54.17
131,65,4843,2,338.49
132,65,145,2,367.82
133,65,852,3,404.37
134,66,1099,2,316.41
135,67,3856,1,180.8
136,68,1456,1,485.59
137,68,2244,1,358.63
138,69,3776,1,401.51
139,69,625,3,443.46
140,70,197,2,383.3
141,70,1384,3,140.98
142,70,1998,3,363.77
143,70,210,1,341.39
144,71,1632,1,388.99
145,72,2924,3,371.35
146,72,2093,3,44.41
147,72,541,3,130.88
148,72,1399,1,400.89
149,73,4497,3,49.08
150,73,592,1,27.4
151,73,2921,1,226.67
152,74,3216,1,270.47
153,74,4486,2,400.09
154,74,30,3,494.2
155,74,985,2,426.59
156,75,2282,1,92.23
157,75,4917,1,164.76
158,76,1383,2,499.85
159,76,2994,2,489.0
160,76,376,3,291.92
161,76,1380,2,182.4
162,77,1901,3,41.04
163,77,3948,2,132.25
164,78,4606,1,281.67
165,78,2920,1,397.96
166,78,4298,1,94.75
167,78,157,3,175.79
168,79,4840,3,8.49
169,80,2232,3,398.65
170,81,1732,2,145.43
171,82,2074,2,249.71
172,82,2367,3,203.63
173,82,2107,3,157.72
174,83,81,2,181.98
175,83,243,2,281.38
176,83,1642,3,9.38
177,83,2099,3,27.02
178,84,3988,1,74.75
179,85,3226,2,421.97
180,85,3101,2,171.08
181,85,476,2,155.44
182,86,3575,3,233.86
183,86,4234,1,132.04
184,87,2311,1,328.33
185,88,150,1,49.82
186,89,4593,3,42.99
187,89,2373,1,473.54
188,90,4287,1,227.98
189,91,3158,1,96.18
190,91,2193,3,484.0
191,92,2932,2,68.74
192,92,1969,1,367.59
193,92,4911,3,157.09
194,93,1940,1,149.47
195,93,2378,1,117.56
196,93,248,2,96.84
197,94,2231,3,377.21
198,95,327,2,499.5
199,95,4718,2,129.09
200,96,3190,2,234.5
201,97,1644,1,67.84
202,97,2055,2,325.77
203,98,166,1,300.28
204,98,2404,3,426.41
205,99,1324,3,81.45
206,99,853,3,448.8
207,100,3477,3,302.2
208,100,4721,1,16.79
209,101,973,2,9.92
210,101,263,3,71.87
211,102,905,2,33.35
212,102,1192,3,103.23
213,102,3155,1,52.13
214,102,2685,3,344.2
215,103,4606,2,281.67
216,103,4375,3,46.9
217,103,4169,1,484.3
218,104,212,1,478.51
219,104,4341,3,48.95
220,104,2394,3,343.76
221,105,2279,2,231.66
222,105,1758,2,6.65
223,106,4048,2,447.64
224,106,179,1,256.63
225,107,2503,1,225.42
226,107,19,1,487.33
227,108,1221,1,366.68
228,109,4975,2,106.41
229,109,3984,3,229.71
230,109,1302,3,179.25
231,109,4787,1,357.31
232,110,1261,1,395.34
233,110,3715,3,26.14
234,111,3071,1,251.07
235,112,3368,2,117.25
236,113,4590,3,480.22
237,114,2643,3,420.17
238,114,1537,3,100.36
239,115,2653,1,171.8
240,116,1839,2,26.85
241,116,165,1,411.12
242,117,3351,2,363.21
243,117,3251,1,47.75
244,117,4049,2,160.1
245,117,3809,1,472.68
246,118,3840,2,125.69
247,118,841,1,349.08
248,118,3597,3,158.33
249,119,4977,3,360.65
250,119,193,2,51.04
251,120,3336,2,455.3
252,121,589,3,277.74
253,121,3247,1,475.11
254,122,3953,2,379.17
255,122,1034,1,297.31
256,122,2749,2,108.17
257,123,3202,2,97.96
258,123,881,3,144.16
259,124,3219,2,203.09
260,124,530,1,364.67
261,124,1947,3,81.19
262,125,3539,2,307.35
263,125,3145,2,12.4
264,126,1465,1,113.1
265,126,2276,3,407.75
266,127,4101,3,485.82
267,128,556,1,315.18
268,128,1965,2,443.62
269,128,4255,2,78.96
270,129,4589,2,10.93
271,130,2583,1,332.77
272,130,977,2,374.13
273,131,3060,2,126.91
274,131,296,3,98.03
275,131,4605,2,9.17
276,132,2816,3,97.07
277,132,4807,3,170.43
278,133,2020,2,230.39
279,134,2834,1,207.47
280,135,3889,3,369.54
281,135,4268,2,168.9
282,135,2052,1,283.65
283,136,2058,3,416.3
284,136,2739,1,234.52
285,136,4342,3,59.54
286,137,731,2,106.08
287,137,3250,3,22.02
288,138,3536,1,83.63
289,138,2748,1,197.24
290,138,2034,1,447.06
291,139,20,1,52.48
292,140,593,3,136.21
293,140,4575,2,413.9
294,141,979,2,448.84
295,141,1113,3,438.84
296,142,4270,1,192.95
297,143,4477,1,292.58
298,143,990,1,496.45
299,143,2194,1,168.77
300,144,921,3,478.45
301,145,3540,1,368.36
302,145,4845,3,86.09
303,145,4836,1,329.49
304,146,3399,2,112.73
305,146,4657,2,438.54
306,147,3671,3,458.94
307,147,3458,1,160.02
308,147,2116,1,491.08
309,147,1182,3,335.65
