order_id,user_id,order_date,payment_method,shipping_option_id,status
1,982,2025-10-23T16:50:34,credit_card,3,completed
2,835,2025-11-21T02:09:08,paypal,3,pending
3,195,2025-06-08T21:36:06,paypal,2,completed
4,941,2025-07-11T11:24:22,bank_transfer,2,completed
5,980,2025-11-18T09:42:38,credit_card,3,completed
6,193,2025-10-21T23:20:23,paypal,3,pending
7,158,2025-06-16T14:11:13,credit_card,2,completed
8,36,2025-05-30T11:35:17,bank_transfer,3,completed
9,144,2025-11-19T22:47:10,debit_card,3,cancelled
10,406,2025-07-27T15:19:05,debit_card,2,completed
11,229,2025-09-12T21:48:47,debit_card,2,completed
12,645,2025-06-02T06:49:54,paypal,2,completed
13,604,2025-08-14T13:06:54,bank_transfer,1,completed
14,78,2025-08-18T21:46:31,credit_card,3,cancelled
15,508,2025-09-27T05:06:00,paypal,3,refunded
16,140,2025-06-30T00:30:42,bank_transfer,2,completed
17,703,2025-11-18T10:24:18,paypal,3,completed
18,623,2025-07-31T06:27:00,credit_card,1,completed
19,215,2025-07-17T12:29:00,paypal,2,completed
20,238,2025-07-03T07:45:32,credit_card,3,completed
21,110,2025-07-02T11:35:07,paypal,3,completed
22,955,2025-06-10T11:12:20,paypal,3,pending
23,107,2025-11-04T09:41:58,credit_card,1,pending
24,301,2025-10-15T09:54:01,paypal,1,pending
25,460,2025-06-20T08:10:22,credit_card,3,completed
26,696,2025-08-11T13:52:28,bank_transfer,2,completed
27,862,2025-07-15T09:54:24,paypal,1,pending
28,838,2025-07-29T10:53:39,debit_card,3,completed
29,717,2025-06-12T23:50:40,credit_card,3,completed
30,894,2025-06-04T14:37:20,credit_card,1,completed
31,126,2025-08-29T19:40:33,credit_card,3,completed
32,425,2025-11-12T18:30:12,bank_transfer,2,completed
33,566,2025-06-25T02:00:58,credit_card,1,completed
34,516,2025-06-21T00:09:43,debit_card,3,pending
35,114,2025-06-27T07:29:51,debit_card,2,pending
36,350,2025-07-31T04:35:16,debit_card,2,completed
37,373,2025-11-02T19:39:59,paypal,1,completed
38,545,2025-10-20T19:09:29,debit_card,3,completed
39,991,2025-11-15T02:49:38,paypal,1,pending
40,557,2025-08-31T04:12:30,paypal,2,completed
41,378,2025-11-11T15:51:38,credit_card,3,completed
42,229,2025-09-21T15:07:29,paypal,3,completed
43,53,2025-09-24T08:08:44,paypal,3,completed
44,155,2025-09-25T19:58:36,paypal,1,completed
45,885,2025-09-01T13:47:33,debit_card,2,completed
46,985,2025-09-20T01:37:53,bank_transfer,1,completed
47,688,2025-08-20T01:04:20,bank_transfer,3,cancelled
48,215,2025-06-04T10:39:41,paypal,3,refunded
49,190,2025-08-13T11:45:00,credit_card,3,refunded
50,975,2025-09-17T03:38:11,debit_card,3,completed
51,357,2025-09-26T09:48:52,paypal,3,completed
52,66,2025-07-11T08:36:27,debit_card,2,completed
53,785,2025-11-27T05:03:37,debit_card,2,completed
54,311,2025-06-24T06:35:34,paypal,2,completed
55,103,2025-08-09T12:34:57,bank_transfer,3,completed
56,418,2025-07-12T19:30:02,bank_transfer,2,refunded
57,844,2025-07-13T00:33:27,debit_card,1,completed
58,405,2025-07-30T23:09:04,bank_transfer,1,completed
59,17,2025-07-08T20:14:12,bank_transfer,1,completed
60,912,2025-08-15T19:34:42,credit_card,3,pending
61,93,2025-08-08T22:12:06,paypal,3,completed
62,398,2025-08-13T22:22:19,bank_transfer,2,completed
63,281,2025-08-26T19:20:22,paypal,1,completed
64,78,2025-10-31T07:50:43,credit_card,3,completed
65,749,2025-08-13T05:19:48,credit_card,1,pending
66,676,2025-09-02T23:40:07,credit_card,3,completed
67,285,2025-11-09T06:03:10,bank_transfer,2,completed
68,869,2025-10-21T04:09:02,bank_transfer,2,completed
69,793,2025-07-15T10:05:19,debit_card,2,completed
70,948,2025-11-23T14:01:39,debit_card,3,completed
71,861,2025-08-10T15:07:55,bank_transfer,1,completed
72,512,2025-11-06T21:38:56,bank_transfer,3,pending
73,300,2025-07-02T00:27:02,debit_card,1,pending
