product_id,category_id,name,base_price,stock_qty,created_at
1,4,Misc Item 1,18.96,358,2025-05-30T10:15:20
2,3,Home Decor Item 2,406.15,496,2025-03-19T11:11:06
3,1,Fashion Item 3,302.82,10,2025-03-02T13:31:13
4,3,Home Decor Item 4,173.68,90,2025-06-15T04:45:17
5,3,Home Decor Item 5,424.01,440,2025-05-25T04:16:57
6,2,Electronic Item 6,171.6,165,2025-09-19T01:11:19
7,2,Electronic Item 7,91.23,495,2025-02-12T08:34:43
8,2,Electronic Item 8,91.8,157,2024-12-09T20:12:01
9,4,Misc Item 9,474.61,200,2025-02-10T05:44:39
10,4,Misc Item 10,483.93,113,2025-01-03T10:19:56
11,1,Fashion Item 11,373.94,121,2025-06-02T19:17:24
12,3,Home Decor Item 12,336.66,373,2025-06-08T14:39:43
13,2,Electronic Item 13,394.57,368,2025-11-27T05:10:13
14,4,Misc Item 14,442.85,252,2025-05-17T18:08:07
15,3,Home Decor Item 15,395.42,295,2024-12-28T22:42:36
16,1,Fashion Item 16,162.76,487,2025-10-05T04:13:18
17,1,Fashion Item 17,42.13,482,2025-10-10T18:37:08
18,3,Home Decor Item 18,218.51,334,2025-09-03T08:48:41
19,1,Fashion Item 19,487.33,209,2024-12-05T10:44:55
20,1,Fashion Item 20,52.48,201,2025-02-07T10:54:38
21,2,Electronic Item 21,216.66,150,2024-12-23T08:09:52
22,1,Fashion Item 22,89.56,149,2025-10-16T13:40:52
23,2,Electronic Item 23,447.96,135,2025-10-11T07:33:13
24,2,Electronic Item 24,193.82,95,2025-04-13T05:17:55
25,1,Fashion Item 25,419.35,288,2025-10-27T01:25:15
26,3,Home Decor Item 26,209.92,387,2025-01-29T22:38:23
27,4,Misc Item 27,345.1,479,2025-03-28T10:04:17
28,1,Fashion Item 28,200.43,437,2024-11-27T05:39:32
29,1,Fashion Item 29,379.81,88,2025-09-02T23:12:31
30,2,Electronic Item 30,494.2,222,2025-08-15T08:05:12
31,1,Fashion Item 31,364.92,413,2025-10-24T03:45:17
32,2,Electronic Item 32,429.03,266,2025-04-07T06:28:23
33,2,Electronic Item 33,78.36,301,2025-02-02T03:16:30
34,3,Home Decor Item 34,434.4,450,2025-06-03T15:57:47
35,1,Fashion Item 35,141.33,73,2025-01-14T08:45:46
36,4,Misc Item 36,169.09,121,2025-11-01T13:37:16
37,1,Fashion Item 37,409.61,155,2025-06-20T20:42:58
38,4,Misc Item 38,117.84,153,2025-04-14T19:14:27
39,2,Electronic Item 39,49.2,226,2025-08-10T16:05:55
40,3,Home Decor Item 40,260.06,81,2025-10-24T19:35:44
41,1,Fashion Item 41,438.21,102,2025-10-28T21:50:22
42,4,Misc Item 42,353.79,140,2025-05-22T14:01:17
43,3,Home Decor Item 43,124.76,250,2025-01-26T14:40:52
44,1,Fashion Item 44,419.64,132,2024-12-10T03:37:56
45,1,Fashion Item 45,427.64,399,2025-08-09T22:51:51
46,1,Fashion Item 46,207.71,10,2024-12-13T06:35:57
47,2,Electronic Item 47,9.19,129,2025-01-19T19:48:06
48,4,Misc Item 48,232.2,111,2025-04-02T19:55:21
49,1,Fashion Item 49,499.72,494,2025-05-19T10:28:52
50,1,Fashion Item 50,58.51,32,2025-06-07T20:51:24
51,1,Fashion Item 51,356.99,456,2024-12-28T20:02:40
52,4,Misc Item 52,403.69,410,2025-01-23T16:12:38
53,3,Home Decor Item 53,329.42,151,2025-07-17T15:41:01
54,1,Fashion Item 54,358.12,351,2025-02-26T07:40:58
55,2,Electronic Item 55,423.48,430,2024-12-25T10:35:53
56,2,Electronic Item 56,371.75,371,2025-02-14T00:15:28
57,1,Fashion Item 57,115.55,446,2025-06-22T15:36:51
58,2,Electronic Item 58,234.56,60,2025-04-01T04:58:08
59,2,Electronic Item 59,434.41,195,2025-02-28T20:03:37
60,1,Fashion Item 60,104.15,209,2025-02-08T14:15:49
61,3,Home Decor Item 61,246.35,323,2025-08-28T19:30:44
62,1,Fashion Item 62,387.9,295,2025-09-06T13:05:54
63,2,Electronic Item 63,204.68,494,2025-03-27T16:58:01
64,1,Fashion Item 64,189.69,7,2025-06-15T11:35:20
65,2,Electronic Item 65,128.17,355,2025-06-03T19:33:37
66,2,Electronic Item 66,156.53,33,2025-11-03T20:03:58
67,2,Electronic Item 67,172.23,454,2024-12-11T02:03:07
68,3,Home Decor Item 68,86.62,464,2025-05-05T06:13:37
69,1,Fashion Item 69,15.85,258,2025-09-02T02:26:20
70,2,Electronic Item 70,321.96,394,2025-02-26T08:14:08
71,3,Home Decor Item 71,328.52,10,2025-11-03T02:42:27
72,2,Electronic Item 72,80.8,355,2024-12-10T07:58:27
73,3,Home Decor Item 73,332.93,138,2025-01-12T08:52:22
74,2,Electronic Item 74,310.76,144,2025-09-30T03:03:15
75,1,Fashion Item 75,135.18,267,2025-08-15T17:53:30
76,1,Fashion Item 76,250.7,106,2024-12-09T13:25:22
77,1,Fashion Item 77,49.06,56,2025-02-06T12:56:00
78,3,Home Decor Item 78,55.14,131,2025-01-01T22:30:25
79,2,Electronic Item 79,54.41,89,2025-11-06T20:20:38
80,2,Electronic Item 80,62.37,435,2025-11-04T06:34:16
81,1,Fashion Item 81,181.98,224,2025-01-12T21:09:16
82,1,Fashion Item 82,203.38,492,2025-04-07T21:01:34
83,3,Home Decor Item 83,326.18,408,2025-09-03T02:48:25
84,1,Fashion Item 84,456.06,247,2025-02-08T14:58:13
85,3,Home Decor Item 85,307.62,441,2024-12-12T02:09:58
86,2,Electronic Item 86,36.35,335,2025-06-20T06:28:23
87,3,Home Decor Item 87,115.87,489,2024-12-19T18:36:22
88,2,Electronic Item 88,364.69,246,2025-06-02T07:34:13
89,4,Misc Item 89,308.39,5,2025-01-02T01:12:35
90,4,Misc Item 90,42.06,251,2025-06-15T22:09:09
